symbol,bin,n_train,expectancy,pf,null_dist_n,pct_vs_null
USDJPY,"Q1 [-4.352, -2.407]",24,-6.81,0.87,100,22.0
USDJPY,"Q2 [-2.407, -1.223]",24,5.4,1.12,100,54.0
USDJPY,"Q3 [-1.223, -0.378]",23,-10.5,0.81,100,20.0
USDJPY,"Q4 [-0.378, 0.441]",24,21.85,1.43,100,82.0
XAUUSD,"Q1 [-5.873, -2.226]",25,-7.93,0.85,100,16.0
XAUUSD,"Q2 [-2.226, -0.951]",25,-24.48,0.61,100,1.0
XAUUSD,"Q3 [-0.951, -0.345]",24,18.76,1.4,100,38.0
XAUUSD,"Q4 [-0.345, 0.498]",25,23.62,1.61,100,60.0
GBPJPY,"Q1 [-4.387, -2.126]",25,17.85,1.42,100,85.0
GBPJPY,"Q2 [-2.126, -1.208]",25,-10.81,0.8,100,33.0
GBPJPY,"Q3 [-1.208, -0.235]",24,-23.89,0.62,100,5.0
GBPJPY,"Q4 [-0.235, 0.489]",25,13.97,1.31,100,69.0
